1.00E+00	2.47E-02									
1.13E+00	3.11E-02									
1.25E+00	3.45E-02									
1.38E+00	3.76E-02									
1.50E+00	4.07E-02									
1.63E+00	4.39E-02									
1.75E+00	4.78E-02									
1.88E+00	6.67E-02									
2.00E+00	7.98E-02									
2.13E+00	8.93E-02									
2.25E+00	1.06E-01									
2.38E+00	1.45E-01									
2.50E+00	2.16E-01									
2.63E+00	2.69E-01									
2.75E+00	2.98E-01									
2.88E+00	3.18E-01									
3.00E+00	3.33E-01									
3.13E+00	3.46E-01									
3.25E+00	3.55E-01									
3.38E+00	3.62E-01									
3.50E+00	3.67E-01									
3.63E+00	3.71E-01									
3.75E+00	3.74E-01									
3.88E+00	3.76E-01									
4.00E+00	3.77E-01									
4.13E+00	3.77E-01									
4.25E+00	3.77E-01									
4.38E+00	3.76E-01									
4.50E+00	3.74E-01									
4.63E+00	3.72E-01									
4.75E+00	3.68E-01									
4.88E+00	3.65E-01									
5.00E+00	3.60E-01									
5.13E+00	3.56E-01									
5.25E+00	3.50E-01									
5.38E+00	3.44E-01									
5.50E+00	3.39E-01									
5.63E+00	3.31E-01									
5.75E+00	3.24E-01									
5.88E+00	3.15E-01									
6.00E+00	3.06E-01									
6.13E+00	2.96E-01									
6.25E+00	2.86E-01									
6.38E+00	2.75E-01									
6.50E+00	2.64E-01									
6.63E+00	2.52E-01									
6.75E+00	2.39E-01									
6.88E+00	2.26E-01									
7.00E+00	2.12E-01									
7.13E+00	1.97E-01									
7.25E+00	1.81E-01									
7.38E+00	1.64E-01									
7.50E+00	1.47E-01									
7.63E+00	1.30E-01									
7.75E+00	1.11E-01									
7.88E+00	9.21E-02									
8.00E+00	7.23E-02									
8.13E+00	5.17E-02									
8.25E+00	3.04E-02									
8.38E+00	8.31E-03									
8.50E+00	-1.43E-02									
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
