1.00E+00	1.10E-01									
1.13E+00	1.16E-01									
1.25E+00	1.26E-01									
1.38E+00	1.37E-01									
1.50E+00	1.48E-01									
1.63E+00	1.61E-01									
1.75E+00	1.78E-01									
1.88E+00	2.20E-01									
2.00E+00	2.38E-01									
2.13E+00	2.51E-01									
2.25E+00	2.69E-01									
2.38E+00	3.00E-01									
2.50E+00	3.59E-01									
2.63E+00	4.09E-01									
2.75E+00	4.44E-01									
2.88E+00	4.70E-01									
3.00E+00	4.93E-01									
3.13E+00	5.13E-01									
3.25E+00	5.28E-01									
3.38E+00	5.42E-01									
3.50E+00	5.53E-01									
3.63E+00	5.62E-01									
3.75E+00	5.70E-01									
3.88E+00	5.77E-01									
4.00E+00	5.82E-01									
4.13E+00	5.87E-01									
4.25E+00	5.91E-01									
4.38E+00	5.94E-01									
4.50E+00	5.97E-01									
4.63E+00	5.99E-01									
4.75E+00	6.00E-01									
4.88E+00	6.01E-01									
5.00E+00	6.02E-01									
5.13E+00	6.01E-01									
5.25E+00	6.01E-01									
5.38E+00	6.00E-01									
5.50E+00	5.99E-01									
5.63E+00	5.97E-01									
5.75E+00	5.94E-01									
5.88E+00	5.91E-01									
6.00E+00	5.87E-01									
6.13E+00	5.83E-01									
6.25E+00	5.79E-01									
6.38E+00	5.74E-01									
6.50E+00	5.69E-01									
6.63E+00	5.63E-01									
6.75E+00	5.57E-01									
6.88E+00	5.51E-01									
7.00E+00	5.44E-01									
7.13E+00	5.36E-01									
7.25E+00	5.28E-01									
7.38E+00	5.19E-01									
7.50E+00	5.11E-01									
7.63E+00	5.02E-01									
7.75E+00	4.92E-01									
7.88E+00	4.82E-01									
8.00E+00	4.72E-01									
8.13E+00	4.61E-01									
8.25E+00	4.50E-01									
8.38E+00	4.39E-01									
8.50E+00	4.27E-01									
