1	0
0.996276	0.0009688
0.9857414	0.004074
0.9695235	0.0091452
0.9481131	0.0154594
0.9214655	0.022746
0.8898773	0.0312064
0.8540272	0.0408789
0.8146316	0.0516205
0.7724453	0.0632013
0.7282305	0.075286
0.6827371	0.0874585
0.6366766	0.0992039
0.5907146	0.1099341
0.5454305	0.1187841
0.5006816	0.1247186
0.4557306	0.1276271
0.4105355	0.128193
0.3656456	0.1268185
0.3215674	0.1236708
0.278785	0.1189112
0.2377671	0.1126733
0.1989595	0.1051007
0.1627977	0.0963134
0.1296339	0.0864041
0.0997127	0.0755306
0.0732793	0.0639683
0.0506445	0.0519772
0.0320334	0.0397469
0.0175285	0.0275484
0.0071987	0.0158536
0.0012734	0.0052896
0	0
0.0004746	-0.0029776
0.0062814	-0.0098859
0.0186816	-0.0170816
0.0364505	-0.0243112
0.0591566	-0.0313477
0.0864272	-0.0380246
0.1178772	-0.0441931
0.1531004	-0.0497124
0.1916554	-0.0544503
0.2330732	-0.0582662
0.2768521	-0.0610211
0.3224651	-0.0625371
0.369356	-0.0626158
0.4169266	-0.0607879
0.4652361	-0.0562835
0.5150946	-0.0492199
0.5666348	-0.0407374
0.6191724	-0.0317886
0.6718973	-0.0230272
0.7239064	-0.0150103
0.7742203	-0.0081683
0.8218132	-0.0028015
0.8656485	0.0009319
0.9047171	0.0030316
0.9380802	0.0036352
0.9648611	0.0030397
0.984332	0.0017727
0.9960827	0.0005276
1	0
